80.5639 	EXP 	window1: recordFrameIntervals = True
80.5787 	EXP 	window1: recordFrameIntervals = True
80.5960 	EXP 	window1: recordFrameIntervals = True
80.6137 	EXP 	window1: recordFrameIntervals = True
80.6293 	EXP 	window1: recordFrameIntervals = True
80.6471 	EXP 	window1: recordFrameIntervals = True
80.6629 	EXP 	window1: recordFrameIntervals = True
80.6796 	EXP 	window1: recordFrameIntervals = True
80.6961 	EXP 	window1: recordFrameIntervals = True
80.7127 	EXP 	window1: recordFrameIntervals = True
80.7296 	EXP 	window1: recordFrameIntervals = True
80.7457 	EXP 	window1: recordFrameIntervals = True
80.7628 	EXP 	window1: recordFrameIntervals = True
80.7789 	EXP 	window1: recordFrameIntervals = True
80.7961 	EXP 	window1: recordFrameIntervals = True
80.8135 	EXP 	window1: recordFrameIntervals = True
80.8295 	EXP 	window1: recordFrameIntervals = True
80.8474 	EXP 	window1: recordFrameIntervals = True
80.8638 	EXP 	window1: recordFrameIntervals = True
80.8806 	EXP 	window1: recordFrameIntervals = True
80.8969 	EXP 	window1: recordFrameIntervals = True
80.9126 	EXP 	window1: recordFrameIntervals = True
80.9296 	EXP 	window1: recordFrameIntervals = True
80.9453 	EXP 	window1: recordFrameIntervals = True
80.9642 	EXP 	window1: recordFrameIntervals = True
80.9807 	EXP 	window1: recordFrameIntervals = True
80.9975 	EXP 	window1: recordFrameIntervals = True
81.0137 	EXP 	window1: recordFrameIntervals = True
81.0305 	EXP 	window1: recordFrameIntervals = True
81.0462 	EXP 	window1: recordFrameIntervals = True
81.0641 	EXP 	window1: recordFrameIntervals = True
81.0808 	EXP 	window1: recordFrameIntervals = True
81.0979 	EXP 	window1: recordFrameIntervals = True
81.1130 	EXP 	window1: recordFrameIntervals = True
81.1307 	EXP 	window1: recordFrameIntervals = True
81.1473 	EXP 	window1: recordFrameIntervals = True
81.1643 	EXP 	window1: recordFrameIntervals = True
81.1799 	EXP 	window1: recordFrameIntervals = True
81.1972 	EXP 	window1: recordFrameIntervals = True
81.2140 	EXP 	window1: recordFrameIntervals = True
81.2303 	EXP 	window1: recordFrameIntervals = True
81.2460 	EXP 	window1: recordFrameIntervals = True
81.2634 	EXP 	window1: recordFrameIntervals = True
81.2809 	EXP 	window1: recordFrameIntervals = True
81.2980 	EXP 	window1: recordFrameIntervals = True
81.3143 	EXP 	window1: recordFrameIntervals = True
81.3306 	EXP 	window1: recordFrameIntervals = True
81.3462 	EXP 	window1: recordFrameIntervals = True
81.3625 	EXP 	window1: recordFrameIntervals = True
81.3797 	EXP 	window1: recordFrameIntervals = True
81.3962 	EXP 	window1: recordFrameIntervals = True
81.4128 	EXP 	window1: recordFrameIntervals = True
81.4292 	EXP 	window1: recordFrameIntervals = True
81.4458 	EXP 	window1: recordFrameIntervals = True
81.4626 	EXP 	window1: recordFrameIntervals = True
81.4810 	EXP 	window1: recordFrameIntervals = True
81.4974 	EXP 	window1: recordFrameIntervals = True
81.5139 	EXP 	window1: recordFrameIntervals = True
81.5295 	EXP 	window1: recordFrameIntervals = True
81.5464 	EXP 	window1: recordFrameIntervals = True
81.5625 	EXP 	window1: recordFrameIntervals = True
81.5798 	EXP 	window1: recordFrameIntervals = True
81.5955 	EXP 	window1: recordFrameIntervals = True
81.6142 	EXP 	window1: recordFrameIntervals = True
81.6308 	EXP 	window1: recordFrameIntervals = True
81.6476 	EXP 	window1: recordFrameIntervals = True
81.6628 	EXP 	window1: recordFrameIntervals = True
81.6808 	EXP 	window1: recordFrameIntervals = True
81.6976 	EXP 	window1: recordFrameIntervals = True
81.7144 	EXP 	window1: recordFrameIntervals = True
81.7295 	EXP 	window1: recordFrameIntervals = True
81.7476 	EXP 	window1: recordFrameIntervals = True
81.7639 	EXP 	window1: recordFrameIntervals = True
81.7804 	EXP 	window1: recordFrameIntervals = True
81.7959 	EXP 	window1: recordFrameIntervals = True
81.8144 	EXP 	window1: recordFrameIntervals = True
81.8314 	EXP 	window1: recordFrameIntervals = True
81.8483 	EXP 	window1: recordFrameIntervals = True
81.8621 	EXP 	window1: recordFrameIntervals = True
81.8791 	EXP 	window1: recordFrameIntervals = True
81.8962 	EXP 	window1: recordFrameIntervals = True
81.9123 	EXP 	window1: recordFrameIntervals = True
81.9309 	EXP 	window1: recordFrameIntervals = True
81.9475 	EXP 	window1: recordFrameIntervals = True
81.9642 	EXP 	window1: recordFrameIntervals = True
81.9794 	EXP 	window1: recordFrameIntervals = True
81.9956 	EXP 	window1: recordFrameIntervals = True
82.0125 	EXP 	window1: recordFrameIntervals = True
82.0291 	EXP 	window1: recordFrameIntervals = True
82.0461 	EXP 	window1: recordFrameIntervals = True
82.0642 	EXP 	window1: recordFrameIntervals = True
82.0806 	EXP 	window1: recordFrameIntervals = True
82.0975 	EXP 	window1: recordFrameIntervals = True
82.1129 	EXP 	window1: recordFrameIntervals = True
82.1290 	EXP 	window1: recordFrameIntervals = True
82.1459 	EXP 	window1: recordFrameIntervals = True
82.1627 	EXP 	window1: recordFrameIntervals = True
82.1791 	EXP 	window1: recordFrameIntervals = True
82.1976 	EXP 	window1: recordFrameIntervals = True
82.2142 	EXP 	window1: recordFrameIntervals = True
82.2302 	EXP 	window1: recordFrameIntervals = True
82.2469 	EXP 	window1: recordFrameIntervals = True
82.2636 	EXP 	window1: recordFrameIntervals = True
82.2794 	EXP 	window1: recordFrameIntervals = True
82.2968 	EXP 	window1: recordFrameIntervals = True
82.3139 	EXP 	window1: recordFrameIntervals = True
82.3304 	EXP 	window1: recordFrameIntervals = True
82.3466 	EXP 	window1: recordFrameIntervals = True
82.3623 	EXP 	window1: recordFrameIntervals = True
82.3794 	EXP 	window1: recordFrameIntervals = True
82.3955 	EXP 	window1: recordFrameIntervals = True
82.4118 	EXP 	window1: recordFrameIntervals = True
82.4296 	EXP 	window1: recordFrameIntervals = True
82.4475 	EXP 	window1: recordFrameIntervals = True
82.4642 	EXP 	window1: recordFrameIntervals = True
82.5001 	EXP 	window1: recordFrameIntervals = True
82.5217 	EXP 	window1: recordFrameIntervals = True
82.5496 	EXP 	window1: recordFrameIntervals = True
82.5704 	EXP 	window1: recordFrameIntervals = True
82.6002 	EXP 	window1: recordFrameIntervals = True
82.6209 	EXP 	window1: recordFrameIntervals = True
82.6332 	EXP 	window1: recordFrameIntervals = True
82.6474 	EXP 	window1: recordFrameIntervals = True
82.6623 	EXP 	window1: recordFrameIntervals = True
82.6808 	EXP 	window1: recordFrameIntervals = True
82.6961 	EXP 	window1: recordFrameIntervals = True
82.7135 	EXP 	window1: recordFrameIntervals = True
82.7296 	EXP 	window1: recordFrameIntervals = True
82.7458 	EXP 	window1: recordFrameIntervals = True
82.7629 	EXP 	window1: recordFrameIntervals = True
82.7789 	EXP 	window1: recordFrameIntervals = True
82.7979 	EXP 	window1: recordFrameIntervals = True
82.8137 	EXP 	window1: recordFrameIntervals = True
82.8301 	EXP 	window1: recordFrameIntervals = True
82.8472 	EXP 	window1: recordFrameIntervals = True
82.8631 	EXP 	window1: recordFrameIntervals = True
82.8796 	EXP 	window1: recordFrameIntervals = True
82.8974 	EXP 	window1: recordFrameIntervals = True
82.9142 	EXP 	window1: recordFrameIntervals = True
82.9312 	EXP 	window1: recordFrameIntervals = True
82.9459 	EXP 	window1: recordFrameIntervals = True
82.9645 	EXP 	window1: recordFrameIntervals = True
82.9800 	EXP 	window1: recordFrameIntervals = True
82.9957 	EXP 	window1: recordFrameIntervals = True
83.0139 	EXP 	window1: recordFrameIntervals = True
83.0295 	EXP 	window1: recordFrameIntervals = True
83.0475 	EXP 	window1: recordFrameIntervals = True
83.0627 	EXP 	window1: recordFrameIntervals = True
83.0799 	EXP 	window1: recordFrameIntervals = True
83.0976 	EXP 	window1: recordFrameIntervals = True
83.1142 	EXP 	window1: recordFrameIntervals = True
83.1307 	EXP 	window1: recordFrameIntervals = True
83.1464 	EXP 	window1: recordFrameIntervals = True
83.1627 	EXP 	window1: recordFrameIntervals = True
83.1794 	EXP 	window1: recordFrameIntervals = True
83.1957 	EXP 	window1: recordFrameIntervals = True
83.2129 	EXP 	window1: recordFrameIntervals = True
83.2283 	EXP 	window1: recordFrameIntervals = True
83.2462 	EXP 	window1: recordFrameIntervals = True
83.2624 	EXP 	window1: recordFrameIntervals = True
83.2798 	EXP 	window1: recordFrameIntervals = True
