SubID	SubExpName	movName	movOrder	keyPress	keyPressTime	frameTime	outcome	
2	actionSegmentation	3backPrac	0	left	1934.591799946007	74.27419999999846	seek	
2	actionSegmentation	3backPrac	0	left	1941.256649670002	74.24083333333179	seek	
2	actionSegmentation	3backPrac	0	left	1945.4241062250076	74.20746666666513	seek	
2	actionSegmentation	3backPrac	0	left	1956.9075131540012	74.17409999999846	seek	
2	actionSegmentation	3backPrac	0	left	1965.3063474750015	74.1407333333318	seek	
2	actionSegmentation	3backPrac	0	left	1969.9406505480074	74.10736666666513	seek	
2	actionSegmentation	3backPrac	0	left	1977.123922896004	74.07399999999846	seek	
2	actionSegmentation	3backPrac	0	left	1985.7561096510035	74.0406333333318	seek	
2	actionSegmentation	3backPrac	0	left	1994.0566408670056	74.00726666666513	seek	
2	actionSegmentation	3backPrac	0	left	1998.389280414005	73.97389999999847	seek	
2	actionSegmentation	3backPrac	0	left	2002.8394334170007	73.9405333333318	seek	
2	actionSegmentation	3backPrac	0	left	2008.9054136420018	73.90716666666513	seek	
2	actionSegmentation	3backPrac	0	left	2014.3233301220025	73.87379999999847	seek	
2	actionSegmentation	3backPrac	0	left	2018.8710537470033	73.8404333333318	seek	
2	actionSegmentation	3backPrac	0	left	2027.1376339390044	73.80706666666514	seek	
2	actionSegmentation	3backPrac	0	left	2031.305960692007	73.77369999999847	seek	
2	actionSegmentation	3backPrac	0	space	2038.437822908003	73.80706666666514	play	
2	actionSegmentation	3backPrac	0	space	2071.9015814130034	105.63886666666438	pause	
2	actionSegmentation	3backPrac	0	c	2088.434224485005	105.63886666666438	cancel	
2	actionSegmentation	3backPrac	0	space	2091.6529290000035	107.20709999999768	pause	
2	actionSegmentation	3backPrac	0	left	2094.237433398004	107.17373333333101	seek	
2	actionSegmentation	3backPrac	0	left	2098.1867711700033	107.14036666666435	seek	
2	actionSegmentation	3backPrac	0	left	2102.037642164003	107.10699999999768	seek	
2	actionSegmentation	3backPrac	0	left	2105.215744388006	107.07363333333102	seek	
2	actionSegmentation	3backPrac	0	left	2108.416486691007	107.04026666666435	seek	
2	actionSegmentation	3backPrac	0	left	2111.580139332007	107.00689999999769	seek	
2	actionSegmentation	3backPrac	0	left	2116.768106662006	106.97353333333102	seek	
2	actionSegmentation	3backPrac	0	left	2120.6532265190035	106.94016666666435	seek	
2	actionSegmentation	3backPrac	0	left	2124.5021901380023	106.90679999999769	seek	
2	actionSegmentation	3backPrac	0	left	2136.2530983270044	106.87343333333102	seek	
2	actionSegmentation	3backPrac	0	left	2140.118370455006	106.84006666666436	seek	
2	actionSegmentation	3backPrac	0	left	2144.1681322690056	106.80669999999769	seek	
2	actionSegmentation	3backPrac	0	left	2156.0346019890058	106.77333333333102	seek	
2	actionSegmentation	3backPrac	0	left	2160.3844579330034	106.73996666666436	seek	
2	actionSegmentation	3backPrac	0	left	2164.734659288006	106.70659999999769	seek	
2	actionSegmentation	3backPrac	0	left	2168.618393126002	106.67323333333103	seek	
2	actionSegmentation	3backPrac	0	left	2172.884628671003	106.63986666666436	seek	
2	actionSegmentation	3backPrac	0	left	2176.883596175001	106.6064999999977	seek	
2	actionSegmentation	3backPrac	0	left	2188.7674503410017	106.57313333333103	seek	
2	actionSegmentation	3backPrac	0	left	2199.1850774620034	106.53976666666436	seek	
2	actionSegmentation	3backPrac	0	left	2203.232205829001	106.5063999999977	seek	
2	actionSegmentation	3backPrac	0	left	2221.017077028002	106.47303333333103	seek	
2	actionSegmentation	3backPrac	0	left	2229.200096575005	106.43966666666437	seek	
