25.0801 	EXP 	window1: recordFrameIntervals = True
25.0960 	EXP 	window1: recordFrameIntervals = True
25.1133 	EXP 	window1: recordFrameIntervals = True
25.1304 	EXP 	window1: recordFrameIntervals = True
25.1463 	EXP 	window1: recordFrameIntervals = True
25.1627 	EXP 	window1: recordFrameIntervals = True
25.1802 	EXP 	window1: recordFrameIntervals = True
25.1959 	EXP 	window1: recordFrameIntervals = True
25.2137 	EXP 	window1: recordFrameIntervals = True
25.2303 	EXP 	window1: recordFrameIntervals = True
25.2461 	EXP 	window1: recordFrameIntervals = True
25.2625 	EXP 	window1: recordFrameIntervals = True
25.2803 	EXP 	window1: recordFrameIntervals = True
25.2966 	EXP 	window1: recordFrameIntervals = True
25.3128 	EXP 	window1: recordFrameIntervals = True
25.3292 	EXP 	window1: recordFrameIntervals = True
25.3470 	EXP 	window1: recordFrameIntervals = True
25.3634 	EXP 	window1: recordFrameIntervals = True
25.3796 	EXP 	window1: recordFrameIntervals = True
25.3956 	EXP 	window1: recordFrameIntervals = True
25.4133 	EXP 	window1: recordFrameIntervals = True
25.4291 	EXP 	window1: recordFrameIntervals = True
25.4467 	EXP 	window1: recordFrameIntervals = True
25.4625 	EXP 	window1: recordFrameIntervals = True
25.4791 	EXP 	window1: recordFrameIntervals = True
25.4968 	EXP 	window1: recordFrameIntervals = True
25.5125 	EXP 	window1: recordFrameIntervals = True
25.5302 	EXP 	window1: recordFrameIntervals = True
25.5470 	EXP 	window1: recordFrameIntervals = True
25.5633 	EXP 	window1: recordFrameIntervals = True
25.5800 	EXP 	window1: recordFrameIntervals = True
25.5972 	EXP 	window1: recordFrameIntervals = True
25.6132 	EXP 	window1: recordFrameIntervals = True
25.6292 	EXP 	window1: recordFrameIntervals = True
25.6458 	EXP 	window1: recordFrameIntervals = True
25.6635 	EXP 	window1: recordFrameIntervals = True
25.6799 	EXP 	window1: recordFrameIntervals = True
25.6963 	EXP 	window1: recordFrameIntervals = True
25.7133 	EXP 	window1: recordFrameIntervals = True
25.7292 	EXP 	window1: recordFrameIntervals = True
25.7470 	EXP 	window1: recordFrameIntervals = True
25.7632 	EXP 	window1: recordFrameIntervals = True
25.7802 	EXP 	window1: recordFrameIntervals = True
25.7973 	EXP 	window1: recordFrameIntervals = True
25.8136 	EXP 	window1: recordFrameIntervals = True
25.8299 	EXP 	window1: recordFrameIntervals = True
25.8467 	EXP 	window1: recordFrameIntervals = True
25.8632 	EXP 	window1: recordFrameIntervals = True
25.8791 	EXP 	window1: recordFrameIntervals = True
25.8968 	EXP 	window1: recordFrameIntervals = True
25.9127 	EXP 	window1: recordFrameIntervals = True
25.9308 	EXP 	window1: recordFrameIntervals = True
25.9458 	EXP 	window1: recordFrameIntervals = True
25.9632 	EXP 	window1: recordFrameIntervals = True
25.9800 	EXP 	window1: recordFrameIntervals = True
25.9971 	EXP 	window1: recordFrameIntervals = True
26.0131 	EXP 	window1: recordFrameIntervals = True
26.0297 	EXP 	window1: recordFrameIntervals = True
26.0466 	EXP 	window1: recordFrameIntervals = True
26.0625 	EXP 	window1: recordFrameIntervals = True
26.0792 	EXP 	window1: recordFrameIntervals = True
26.0966 	EXP 	window1: recordFrameIntervals = True
26.1133 	EXP 	window1: recordFrameIntervals = True
26.1291 	EXP 	window1: recordFrameIntervals = True
26.1459 	EXP 	window1: recordFrameIntervals = True
26.1629 	EXP 	window1: recordFrameIntervals = True
26.1799 	EXP 	window1: recordFrameIntervals = True
26.1974 	EXP 	window1: recordFrameIntervals = True
26.2132 	EXP 	window1: recordFrameIntervals = True
26.2293 	EXP 	window1: recordFrameIntervals = True
26.2462 	EXP 	window1: recordFrameIntervals = True
26.2628 	EXP 	window1: recordFrameIntervals = True
26.2800 	EXP 	window1: recordFrameIntervals = True
26.2964 	EXP 	window1: recordFrameIntervals = True
26.3135 	EXP 	window1: recordFrameIntervals = True
26.3307 	EXP 	window1: recordFrameIntervals = True
26.3469 	EXP 	window1: recordFrameIntervals = True
26.3625 	EXP 	window1: recordFrameIntervals = True
26.3792 	EXP 	window1: recordFrameIntervals = True
26.3966 	EXP 	window1: recordFrameIntervals = True
26.4136 	EXP 	window1: recordFrameIntervals = True
26.4300 	EXP 	window1: recordFrameIntervals = True
26.4458 	EXP 	window1: recordFrameIntervals = True
26.4626 	EXP 	window1: recordFrameIntervals = True
26.4802 	EXP 	window1: recordFrameIntervals = True
26.4964 	EXP 	window1: recordFrameIntervals = True
26.5131 	EXP 	window1: recordFrameIntervals = True
26.5300 	EXP 	window1: recordFrameIntervals = True
26.5321 	DATA 	Keypress: space
26.5467 	EXP 	window1: recordFrameIntervals = True
26.5636 	EXP 	window1: recordFrameIntervals = True
26.5801 	EXP 	window1: recordFrameIntervals = True
26.5967 	EXP 	window1: recordFrameIntervals = True
26.6136 	EXP 	window1: recordFrameIntervals = True
26.6303 	EXP 	window1: recordFrameIntervals = True
26.6461 	EXP 	window1: recordFrameIntervals = True
26.6636 	EXP 	window1: recordFrameIntervals = True
26.6804 	EXP 	window1: recordFrameIntervals = True
26.6964 	EXP 	window1: recordFrameIntervals = True
26.7133 	EXP 	window1: recordFrameIntervals = True
26.7295 	EXP 	Set movie paused
26.7297 	EXP 	window1: recordFrameIntervals = True
26.7468 	EXP 	window1: recordFrameIntervals = True
26.7636 	EXP 	window1: recordFrameIntervals = True
26.7795 	EXP 	window1: recordFrameIntervals = True
26.7971 	EXP 	window1: recordFrameIntervals = True
26.8133 	EXP 	window1: recordFrameIntervals = True
26.8293 	EXP 	window1: recordFrameIntervals = True
26.8462 	EXP 	window1: recordFrameIntervals = True
26.8637 	EXP 	window1: recordFrameIntervals = True
26.8798 	EXP 	window1: recordFrameIntervals = True
26.8969 	EXP 	window1: recordFrameIntervals = True
26.9132 	EXP 	window1: recordFrameIntervals = True
26.9291 	EXP 	window1: recordFrameIntervals = True
26.9637 	WARNING 	t of last frame was 34.64ms (=1/28)
26.9637 	EXP 	window1: recordFrameIntervals = True
26.9800 	EXP 	window1: recordFrameIntervals = True
26.9971 	EXP 	window1: recordFrameIntervals = True
27.0128 	EXP 	window1: recordFrameIntervals = True
27.0298 	EXP 	window1: recordFrameIntervals = True
27.0466 	EXP 	window1: recordFrameIntervals = True
27.0625 	EXP 	window1: recordFrameIntervals = True
27.0792 	EXP 	window1: recordFrameIntervals = True
27.0971 	EXP 	window1: recordFrameIntervals = True
27.1133 	EXP 	window1: recordFrameIntervals = True
27.1291 	EXP 	window1: recordFrameIntervals = True
27.1463 	EXP 	window1: recordFrameIntervals = True
27.1637 	EXP 	window1: recordFrameIntervals = True
27.1799 	EXP 	window1: recordFrameIntervals = True
27.1959 	EXP 	window1: recordFrameIntervals = True
27.2125 	EXP 	window1: recordFrameIntervals = True
27.2291 	EXP 	window1: recordFrameIntervals = True
27.2469 	EXP 	window1: recordFrameIntervals = True
27.2633 	EXP 	window1: recordFrameIntervals = True
27.2803 	EXP 	window1: recordFrameIntervals = True
27.2968 	EXP 	window1: recordFrameIntervals = True
27.3135 	EXP 	window1: recordFrameIntervals = True
27.3299 	EXP 	window1: recordFrameIntervals = True
27.3466 	EXP 	window1: recordFrameIntervals = True
27.3625 	EXP 	window1: recordFrameIntervals = True
27.3791 	EXP 	window1: recordFrameIntervals = True
27.3966 	EXP 	window1: recordFrameIntervals = True
27.4137 	EXP 	window1: recordFrameIntervals = True
